"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-01",,,"36",",,0","32",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-02",,,"44",",,0","35",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-03",,,"40",",,0","29",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-04",,,"29",",,0","11",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-05",,,"26",",,0","11",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-06",,,"26",",,0","21",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-07",,,"35",",,0","26",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-08",,,"50",",,0","35",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-09",,,"45",",,0","33",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-10",,,"37",",,0","29",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-11",,,"43",",,0","32",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-12",,,"49",",,0","32",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-13",,,"44",",,0","29",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-14",,,"40",",,0","25",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-15",,,"48",",,0","37",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-16",,,"45",",,0","34",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-17",,,"49",",,0","34",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-18",,,"50",",,0","35",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-19",,,"49",",,0","40",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-20",,,"53",",,0","30",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-21",,,"30",",,0","15",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-22",,,"41",",,0","20",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-23",,,"51",",,0","32",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-24",,,"61",",,0","36",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-25",,,"47",",,0","35",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-26",,,"48",",,0","35",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-27",,,"46",",,0","37",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-28",,,"47",",,0","32",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-29",,,"52",",,0","39",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-30",,,"51",",,0","44",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01-31",,,"52",",,0","38",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-01",,,"67",",,0","44",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-02",,,"57",",,0","38",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-03",,,"38",",,0","26",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-04",,,"31",",,0","22",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-05",,,"26",",,0","20",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-06",,,"39",",,0","26",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-07",,,"39",",,0","29",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-08",,,"37",",,0","25",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-09",,,"29",",,0","17",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-10",,,"31",",,0","18",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-11",,,"43",",,0","25",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-12",,,"42",",,0","30",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-13",,,"42",",,0","26",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-14",,,"55",",,0","41",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-15",,,"50",",,0","39",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-16",,,"42",",,0","24",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-17",,,"29",",,0","19",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-18",,,"32",",,0","20",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-19",,,"42",",,0","26",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-20",,,"45",",,0","33",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-21",,,"60",",,0","41",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-22",,,"54",",,0","38",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-23",,,"44",",,0","27",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-24",,,"27",",,0","19",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-25",,,"34",",,0","15",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-26",,,"37",",,0","27",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-27",,,"42",",,0","32",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02-28",,,"40",",,0","31",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-01",,,"43",",,0","31",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-02",,,"43",",,0","28",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-03",,,"45",",,0","34",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-04",,,"40",",,0","34",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-05",,,"42",",,0","33",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-06",,,"43",",,0","23",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-07",,,"25",",,0","13",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-08",,,"32",",,0","15",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-09",,,"42",",,0","23",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-10",,,"46",",,0","29",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-11",,,"49",",,0","31",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-12",,,"46",",,0","29",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-13",,,"38",",,0","21",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-14",,,"54",",,0","35",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-15",,,"69",",,0","46",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-16",,,"57",",,0","42",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-17",,,"70",",,0","42",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-18",,,"77",",,0","37",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-19",,,"46",",,0","31",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-20",,,"42",",,0","30",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-21",,,"47",",,0","33",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-22",,,"47",",,0","28",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-23",,,"49",",,0","33",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-24",,,"40",",,0","37",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-25",,,"63",",,0","38",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-26",,,"66",",,0","47",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-27",,,"61",",,0","44",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-28",,,"82",",,0","56",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-29",,,"76",",,0","50",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-30",,,"50",",,0","41",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03-31",,,"44",",,0","39",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-04-01",,,"49",",,0","38",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-04-02",,,"56",",,0","35",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-04-03",,,"58",",,0","44",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-04-04",,,"67",",,0","45",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-04-05",,,"77",",,0","51",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-04-06",,,"52",",,0","42",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-04-07",,,"55",",,0","41",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-04-08",,,"56",",,0","39",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-04-09",,,"56",",,0","41",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-04-10",,,"54",",,0","37",",,0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-04-11",,,"53",",,0","34",",,0"
